1,L,7405-4641;8511-9837;3912-3840;1968-6713;4388-2823;1845-5373;5599-18;2415-8004;2518-2236;7184-6616
2,C,6179-1507;48
3,R,7116-1656;8347-222
4,C,4661-9112;19
5,R,435-2260;6615-4293
6,L,9225-7930;7538-3901;8526-3227;2103-309
7,L,9484-3464
8,R,717-3295;3764-6060
9,C,1261-9341;35
10,L,6187-4893;73-7327
11,C,5653-7633;41
12,C,6904-8750;65
13,R,6235-6154;2320-5468
14,L,5588-2847;7584-2853;5687-5885;6266-450;5113-2221;9213-9184;3531-2824
15,R,1562-1123;9647-1812
16,L,6138-1613;5680-555;1806-7345;131-1477
17,R,459-2111;6295-8670
18,L,252-1877;2470-1318;3476-7235;4061-9085;3355-4354;1349-5988;4415-5393
19,L,1122-4381;189-2427;2785-6886;5114-5266;9502-6803;2682-850;2868-8721;6508-1050;4691-1511
20,L,7047-1133;8473-7354;828-5149
21,L,2959-8276;6575-1926;7846-9152;4524-5671;6605-251;5529-9602;9191-318;1105-3923
22,R,6889-9673;1030-1701
23,L,2367-9175;1648-4047;3284-5090
24,R,5807-635;1189-4501
25,L,302-8015;4353-8682;6718-159
26,R,3569-2955;9722-7661
27,L,2168-7329;8991-8987;4624-8501;5811-1869;6483-28;6078-9459;2396-3953;3386-5175;6403-494
28,L,9149-9204;5794-9402;7419-5407;2655-629;8460-9473;1133-2720;2917-4194;1004-364;5890-9025
29,C,9850-9640;14
30,R,2822-8632;5279-114
31,R,4499-3726;2369-4569
32,R,9790-3954;3503-6578
33,L,9017-4185;6088-3692;9261-6930
34,C,2965-4715;49
35,L,9625-6997;9466-4493;9958-7912;9771-3607;1116-1106
36,L,9041-4049;6890-5164;9142-1461
37,R,9666-6481;1826-1561
38,R,9570-6390;5048-5072
39,L,4866-6885;4195-444;8866-5853;1686-3448;9482-6471;1208-7723;8398-5243
40,C,6419-9360;46
41,L,3722-7803;3213-4902;5758-7358;6215-8320;471-6413
42,C,4616-8330;94
43,L,9643-6143;5977-5669;9638-3438;8012-9472;507-7830;2517-3333;2864-3770;3041-5391;1542-560;2447-5660
44,C,1782-4105;45
45,R,2275-9523;5450-4078
46,R,2363-8202;8074-2641
47,C,2747-8789;50
48,R,4989-3682;2458-1408
49,R,6994-6979;5022-923
50,C,8307-4570;81
51,R,3968-5691;8658-4377
52,C,2598-5966;57
53,R,1692-2924;32-8047
54,L,3766-50;3608-7192;6746-6746;7171-1384;7695-6490;8400-8644
55,R,7972-4274;116-5875
56,C,2511-8493;72
57,R,6322-680;434-2134
58,R,4131-1050;536-4177
59,R,2753-5158;6412-220
60,C,8215-5556;88
61,C,7048-5216;25
62,C,9348-7981;62
63,L,6031-2578
64,C,6157-3715;93
65,C,1876-9255;49
66,C,8425-6296;26
67,C,8571-5262;42
68,L,6198-9324;8062-6128;2963-6017;1520-8436;9247-2151;8257-4856;7340-6798;3971-5392
69,R,7967-2850;6421-86
70,R,1733-8025;9222-5058
71,R,687-3159;6488-7717
72,L,2364-1843;6419-8378;1534-3051;2142-3674;2732-9904;4080-5924;832-5666;6452-5524
73,C,8500-1172;14
74,L,4512-4435;6346-7771;4225-599;5104-8500
75,L,5150-5061;5607-839
76,R,8418-8156;8574-6239
77,L,8176-4277;6055-121;889-2482;7601-7050;8163-5714
78,R,2093-8900;4506-4090
79,C,408-4733;73
80,R,1778-8240;6373-1834
81,C,9807-5919;65
82,R,225-9198;5381-2361
83,L,2149-1488;4423-5635;6451-2714;8986-5319;1178-8332;7687-8367;8256-1752;3055-3428
84,R,4082-2523;8453-5823
85,R,3206-1554;5450-8058
86,C,4060-2248;74
87,R,6679-7435;1555-1114
88,L,8986-4445;3383-5192;8038-1802;24-7050;7307-5613;3555-6633;2036-8284
89,L,5397-1627
90,C,4603-9825;55
91,L,5849-9082;498-5137;6459-8528;4988-4315;3689-8709;660-2252;9364-5647;3180-8199
92,R,9627-8022;2036-1168
93,L,6747-1350;7030-4139;3027-5827
94,C,6401-3568;12
95,R,9413-9418;9624-4466
96,L,3874-8180
97,R,4373-3121;3365-4870
98,C,5960-2206;45
99,C,3360-1806;71
100,R,4513-8523;3452-5797
101,C,2043-4975;45
102,L,8124-5543;2600-5992;4985-3927;4711-8246;3604-7227;5709-1106;7156-5152
103,R,3000-75;5008-8370
104,R,4382-3427;470-2983
105,C,2266-4301;93
106,C,915-7576;42
107,C,310-6004;47
108,C,9502-990;81
109,L,5193-7287;7285-4850;8361-6496;4381-6121;6238-7816;8763-7039;8002-6685
110,C,8584-1810;86
111,C,7058-1729;30
112,L,9754-7388
113,L,5409-2665;9333-3170;2207-6145;5177-7466;2483-362;4275-3950;3430-2237;1515-1337;3258-4024
114,L,9741-6703;6990-1459;1241-7444;3229-2203;325-4946
115,L,8387-5951;1871-4672;7362-805;9878-8909;3810-4185;2777-9552;1020-4224;3944-603
116,C,8094-9823;87
117,R,2812-2803;9652-6783
118,L,7385-6082;9303-1766;6284-3842;2139-9351;9016-1944;2422-4163
119,L,2278-5489;8104-6125
120,R,8069-2831;186-2978
121,R,371-9093;1745-7961
122,R,6604-7171;1152-3623
123,R,3046-3527;5582-4271
124,C,6748-1566;67
125,R,2378-634;3600-5448
126,L,529-6723
127,L,7384-4033;4781-2744;5404-9991;4692-5714;7428-5450
128,C,5793-3457;16
129,R,6511-5016;4622-8578
130,C,9413-6670;39
131,C,5538-5079;45
132,C,1725-3127;65
133,R,4549-3279;2091-1141
